Fylke;Kommune;Organisasjon;Adresse;Nettside;Epost;Telefon;Status;Kilde;Opprettet;Sist endret
Akershus;Frogn;Frogn U3A;Smia flerbrukshus, Drõbak (mõtested);frognu3a.no;;;Aktiv;Offisiell nettside;;okt.25
Akershus;Nesodden;U3A Nesodden;(se nettside);u3anesodden.no;;;Aktiv;Offisiell nettside;;okt.25
Akershus;Bërum;Fornebu senioruniversitet (FSU);Fornebupiloten, Fornebu (mõtested);fsuni.no;;;Aktiv;Offisiell nettside / Bërum kommune;;okt.25
Akershus;Asker;Pensjonistuniversitetet Asker (PUA);Teatersalen, Asker kulturhus (Strõket 15 A);puasker.no;;;Aktiv;Offisiell nettside;;okt.25
Akershus;Nordre Follo;OppegÜrd Seniorakademi;Kolben kulturhus (Kolbotn);nordrefolloscener.no;;;Seniorakademi (ikke U3A);Programside (Kolben);;okt.25
Akershus;Nordre Follo;Ski Pensjonistakademi;RÜdhusteatret, Ski;skipensjonistakademi.org;;;Seniorakademi (ikke U3A);Offisiell nettside;;okt.25
ùstfold;Fredrikstad;Fredrikstad Pensjonistakademi;Fergestedsveien 1, 1606 Fredrikstad;pensjonistakademiet.no;post@pensjonistakademiet.no;69 31 15 87;Aktiv;Offisiell nettside;;okt.25
ùstfold;Sarpsborg;Sarpsborg Seniorakademi;Filadelfiakirken, Astridsgate 18, 1706 Sarpsborg;sarpsborgseniorakademi.no;post@sarpsborgseniorakademi.no;;Aktiv;Offisiell nettside;;okt.25
ùstfold;Halden;Eldreakademiet i Halden;Porsnesveien 14, 1772 Halden;eahalden.no;eldreakademiet.halden@gmail.com;;Aktiv;Offisiell nettside;;okt.25
ùstfold;Moss;Eldreakademiet Moss;Verket scene;eldreakademiet.no;post@eldreakademiet.no;;Aktiv;Offisiell nettside;;okt.25
ùstfold;Indre ùstfold;Seniorakademiet indre ùstfold;Askim kulturhus, Vammaveien 15, 1813 Askim;seniorakademiet.com;medlem@seniorakademiet.com;;Aktiv;Offisiell nettside;;okt.25
ùstfold;Hvaler;Hvaler Senioruniversitet;Hvaler kirke / menighetssal, 1684 Vesterõy;;;;Delvis aktiv ? sjekk lokal annonsering;Lokal omtale / menighetsblad;;okt.25
Innlandet;Lillehammer;Pensjonistuniversitetet Lillehammer;Weidemanns gate 20, 2613 Lillehammer (post);pulillehammer.forening247.no;lillehammer.pu@gmail.com;;Aktiv;Offisiell side (forening247);;okt.25
Innlandet;Gjõvik;Pensjonistuniversitetet Gjõvik (PU Gjõvik);(se nettside);pugjovik.no;pugjovik@gmail.com;;Aktiv;Offisiell nettside;;okt.25
Innlandet;Hamar;Seniorakademiet (Hamar kulturhus);Hamar kulturhus, Torggata 100, 2317 Hamar;hamar-kulturhus.no;;62 56 18 50;Seniorakademi (ikke U3A);Kulturhus-program;;okt.25
Innlandet;Nord-Fron;Senioruniversitet ? Midt-Gudbrandsdal (lokal gruppe);(lokale mõtesteder, se Facebook/annonser);;;;Delvis aktiv ? sjekk lokale kanaler;Lokal Facebook/annonser;;okt.25
Innlandet;Trysil;Seniortilbud / foredrag (kommune/frivilligsentral);(se kommune/kulturhus);trysil.kommune.no;postmottak@trysil.kommune.no.;62 45 90 00;Kommunalt seniortilbud (ikke U3A);Kommunal info;;okt.25
Vestfold;Larvik;Pensjonistuniversitetet i Larvik (PU Larvik);Bõlgen kulturhus (mõtested);puilarvik.no;;;Aktiv;Offisiell nettside;;okt.25
Vestfold;Sandefjord;Nestor pensjonistskole (kurssted, ikke U3A);Husvikveien 21, 3159 Melsomvik;nestorkurs.com;;;Kurssted (ikke U3A);Offisiell nettside;;okt.25
Vestfold;Tõnsberg;;;;;;Ingen funnet ? sjekk lokal pensjonistforening / kulturhus;;;okt.25
Vestfold;Fërder;;;;;;Ingen funnet ? sjekk lokal pensjonistforening / kulturhus;;;okt.25
Vestfold;Horten;;;;;;Ingen funnet ? sjekk lokal pensjonistforening / kulturhus;;;okt.25
Vestfold;Holmestrand;;;;;;Ingen funnet ? sjekk lokal pensjonistforening / kulturhus;;;okt.25
Agder;Arendal;Senioruniversitetet i Arendal;Store Torungen, Arendal Kulturhus;senioruniversitetet-arendal.com;;;Aktiv;Offisiell nettside;;okt.25
Agder;Grimstad;;;;;;Ukjent;;;okt.25
Agder;Lillesand;Lillesand Senioruniversitet;Lillesand bibliotek / rÜdhus;Ikke funnet;;;Ikke funnet;Ikke funnet;;okt.25
Agder;Kristiansand;Kristiansand Senioruniversitet;(mõtested varierer, se nettside);krsu.no;post@krsu.no;;Aktiv;Offisiell nettside;;okt.25
Agder;Sõgne;Sõgne Senioruniversitet;Sõgne gamle prestegÜrd;;;;Delvis aktiv ? sjekk lokal annonsering;Kommunale kultursider / tidligere program;;okt.25
Agder;Mandal;Senioruniversitetet i Mandal;Buen kulturhus, Mandal;https://www.sumandal.no/;;;Aktiv;Offisiell nettside;;okt.25
Agder;Lindesnes;Lindesnes Senioruniversitet;Kulturhuset Buen, Mandal (felles med Mandal);;;;Delvis aktiv ? felles med Mandal;Lokal presse / arrangementskalender;;okt.25
Agder;Flekkefjord;Flekkefjord bibliotek/SeniorUniversitetet;Flekkefjord kultursenter SPIRA;flekkefjordkultursenter.no;spira@flekkefjord.kommune.no;;Aktiv;Offisiell nettside;;okt.25
Rogaland;Stavanger;Pensjonistuniversitetet Stavanger (PUS);"(mõtested varierer; se nettside)";pustavanger.net;;;Aktiv;Offisiell nettside;;okt.25
Rogaland;Sandnes;Sandnes Senioruniversitet;(se nettside);sandnessenioruniversitet.no;;;Aktiv;Offisiell nettside;;okt.25
Rogaland;Haugesund;Senioruniversitetet Haugesund;(se nettside);senihaug.no;;;Aktiv;Offisiell nettside;;okt.25
Rogaland;Eigersund;Dalane Senioruniversitet (DSU);(dekker Dalane-regionen);dalane-su.no;;;Aktiv ? regionalt tilbud;Offisiell nettside;;okt.25
Rogaland;Time;Jëren Senioruniversitet;(dekker Jëren-kommunene);jaeren-senioruniversitet.no;;;Aktiv ? regionalt tilbud;Offisiell nettside;;okt.25
Rogaland;Strand;Senioruniversitetet for Ytre Ryfylke (SUFYR);(dekker Ytre Ryfylke);sufyr.no;;;Aktiv ? regionalt tilbud;Offisiell nettside;;okt.25
Vestland;Bergen;Senioruniversitetet U3A Bergen;Vestre Murallmenningen 15, 5011 Bergen (org.adresse);senioruniversitetet-u3a-bergen.com;;;Aktiv;Offisiell nettside / Proff;;okt.25
Vestland;Bergen;LaksevÜg Senioruniversitet;Kultursalen, Vestkanten Storsenter;laksevag-senioruniversitet.no;;;Aktiv;Offisiell nettside;;okt.25
Vestland;Bergen;Fana og Ytrebygda Senioruniversitet;Fana kulturhus, Nesttun;fanaytrebygda-senioruniversitet.no;;;Aktiv;Offisiell nettside / Bergen kommune;;okt.25
Vestland;Bergen;Arna Senioruniversitet;(se nettside);arna-senioruniversitet3.webnode.page;;;Aktiv;Egen nettside;;okt.25
Vestland;Voss;Voss Senioruniversitet;(se nettside);voss-senioruniversitet.com;ankadug@gmail.com;;Aktiv;Offisiell nettside;;okt.25
Mõre og Romsdal;èlesund;èlesund Senioruniversitet;èlesund frivilligsentral, Kirkegata 33, 6025 èlesund (post);aasu.no;post@aasu.no;;Aktiv;Offisiell nettside;;okt.25
Mõre og Romsdal;Molde;Romsdal Senioruniversitet;(se nettside);romsunivers.no;;;Aktiv;Offisiell nettside;;okt.25
Mõre og Romsdal;Kristiansund;Nordmõre Senioruniversitet;(arr.: Caroline kino- og konferansesenter m.m.);nsru.no;post@nsru.no;;Aktiv;Offisiell nettside / program;;okt.25
Mõre og Romsdal;Ulstein;Senioruniversitetet i Ulstein og Hareid;(se nettside);senior-uh.no;;;Aktiv;Offisiell nettside;;okt.25
Mõre og Romsdal;Hareid;Senioruniversitetet i Ulstein og Hareid;(se nettside);senior-uh.no;;;Aktiv (felles med Ulstein);Offisiell nettside;;okt.25
Mõre og Romsdal;Herõy;Herõy Senioruniversitet;"(mõtested varierer; sjÜ annonse)";;lilly.ase@tussa.com;907 94 890;Aktiv;Kommunal oppfõring;;okt.25
Mõre og Romsdal;Vestnes;Vestnes seniorakademi;"(mõtested varierer; sjÜ program)";vestnesseniorakademi.no;vsa@vestnesseniorakademi.no;;Seniorakademi (ikkje U3A);Offisiell nettside;;okt.25
Mõre og Romsdal;Sykkylven;Sykkylven Seniorakademi;c/o Ole-Petter Solnõrdal, Ura 45, 6230 Sykkylven;;sykkylvensenioraka@gmail.com;918 95 000;Seniorakademi (ikkje U3A);Kommunal oppfõring;;okt.25
Mõre og Romsdal;Surnadal;Indre Nordmõre Senioruniversitet (INS);Surnadal kulturhus;;;;Aktiv (lokal/region);Frivilligsentral / lokalpresse;;okt.25
Mõre og Romsdal;Sula;SeniorUNI ? foredragsrekke;"(arena varierer; se kommune-siden)";sula.kommune.no ?/aktivitetstilbod-til-eldre;;;Kommunalt seniortilbud (ikke U3A);Kommunal infoside;;okt.25
Trõndelag;Trondheim;Senioruniversitetet i Trondheim (U3A);"(mõtested varierer; se nettside)";senioruniversitetetitrondheim.no;;;Aktiv;Offisiell nettside;;okt.25
Nordland;Bodõ;Senioruniversitetet Bodõ;"(mõtested annonseres; se Facebook/annonsering)";;;;Aktiv (Facebook);Facebook (offentlig side/gruppe);;okt.25
Nordland;Bodõ;Senioruniversitetet Bodõ;Tusenhjemmet ? kultursal Lofoten;;;;Aktiv;Bodõ kommune / Facebook;;okt.25
Nordland;Narvik;Senioruniversitetet Narvik;Monsbakken 10, 8516 Narvik;;;;Aktiv (nyregistrert forening);Proff/Brreg;;okt.25
Nordland;Sortland;SeniorUniversitetet ? foredragsserie;Kulturfabrikken Sortland (Biblioteket 2. etg);kulturfabrikkensortland.no/program/?;;;Aktiv (lokal foredragsserie);Programside;;okt.25
Troms og Finnmark;Tromsõ;SuiT45+;èsvegen 5, 9020 Tromsdalen;senioruniversitetet.online;lck@daltun.no;;Aktiv;Offisiell nettside / Program;;okt.25
Troms og Finnmark;Alta;Senioruniversitetet i Alta;Alta bibliotek / Kulturhuset;https://uit.no/lordagsuniversitetet;;;;;;
;;;;;;;;;;
∏ 2025 Frogn U3A ? Oppdatert oktober 2025. Utarbeidet av Svein Theodor Moen med hjelp av ChatGPT.;;;;;;;;;;
